Korean,English
너는 치킨 좋아해?,Do you like chicken?
어디 브랜드 좋아해?,What brand do you like?
나는 가리는 거 없이 다 잘 먹는데 교촌이 좋아!,"I eat everything without being picky, but I like Kyochon!"
교촌은 역시 허니지~,Kyochon is definitely Honey~
맞지?,Right?
맞아,that's right
허니콤보만 먹어,Just eat honey combo
너무 맛있더라,It was so delicious
아 오랜만에 그거랑 엽떡이랑 같이 먹고 싶다!,"Ah, it's been a while since I've eaten that with rice cakes!"
와 인정,"Wow, I admit it"
진짜 그렇게 먹으면 맛있는데 ㅠ,It's really delicious if you eat it like that ㅠ
너는 룸메랑 둘이 사니까 허니콤보랑 엽떡 2인 시켜먹으면 딱이것다!,"Since you live with a roommate, ordering a honey combo and two-person rice cakes is perfect!"
그러게,I know
오늘 시켜 먹어볼까?,Should I order it today?
키키 완전 좋지,Kiki is totally great
나는 지금 아이스크림 시켰어!,I just ordered ice cream!
아이스크림?,ice cream?
오늘 날씨에 춥지 않겠어,It won't be cold today
괜찮아,are you okay
방이 따뜻해서 지금 더워!,The room is warm so it's hot now!
그럼 딱이지!,That's perfect!
요즘엔 아이스크림 배달 돼서 좋다 ㅎ,It's nice that ice cream is delivered these days.
맞아,that's right
"근데 배달료가 좀 충격적이야,","But the delivery fee is a bit shocking,"
와 그거 인정 ㅠㅠ,"Wow, I admit it ㅠㅠ"
배달비가 왜 이렇게 비싼 거야 ㅠㅠ,Why is the delivery fee so expensive?
"맞아,","that's right,"
"어디는 7천원도 달라더라,","In some places, it costs 7,000 won."
7000원?,7000 won?
너무 비싼데 그거는...,That's too expensive...
너네는 청소 어떻게 해?,How do you guys clean?
우리는 그냥 보이는 사람이 하는 거 같아,I think we're just people who are visible
정해진 건 없어,Nothing is set in stone
너네는 성격이 다 둥글둥글하구나?,You all have such well-rounded personalities?
맞아,that's right
약간 대충 사는 스타일? 하하,A bit of a rough living style? Haha
키키 내 친구는 청소 때문에 친구랑 손절했대!,Kiki My friend broke up with her friend because of cleaning!
어? 그 정도로 화가 많이 난 거야?,Huh? Are you that angry?
어 치우는 사람 따로 어지르는 사람 따로 있으니까!,There are people who clean up and people who make a mess!
그건 그렇긴 해 ㅠㅠ,That's true ㅠㅠ
그거 안 맞으면 같이 못살어 ㅠㅠ,"If that doesn't work out, we can't live together ㅠㅠ"
맞아,that's right
친구 입장에서는 얘가 나를 무서하나 이런 생각이 들 정도였대!,"From my friend's perspective, I thought to myself, &quot;Is this guy scared of me?&quot;"
그렇게 느낄 수 도 있겠다 ㅠ,I guess you could feel that way ㅠ
힘들었겠네,It must have been hard
그런데 방 계약은 1년 단위로 하잖아 ㅜ,But the room contract is for one year.
어 맞아,Oh right
그럼 어떻게 했대?,Then what did you do?
얘가 룸메 구한다는 글을 올려서 룸메 구해서 친구 내보냈대 키키,"Kiki said that he posted that he was looking for a roommate, so he found a roommate and kicked out his friend."
아 엄청 생각 좋은데?,"Oh, that's a really good idea?"
선수쳐버렸잖아!,I beat the player!
키키 그러니까,"Kiki, so"
그 새로운 룸메랑은 청소 당번을 정했대!,That new roommate has decided who will do the cleaning duty!
다행이다,thank god
