Korean,English,score
불 끄면 영화관 못지 않아,Turn off the lights and it's just like a movie theater,1
아냐,no,1
선생님 시청에 문의해 보셨습니까,Have you tried contacting the teacher's office?,2
이사 편리 부동산 정보에서 확인을 하였는데요,I checked the information on moving convenience real estate.,2
맞아 나는 보라 같은 사람이 되고 싶더라~,"That's right, I want to be someone like Bora~",1
네 고객님 제가 관련 부서 안내 드리겠습니다,"Yes, sir. I will guide you to the relevant department.",2
네 안녕하세요 혹시 실외활동 관련 부서 있나요,"Yes, hello. Do you have a department for outdoor activities?",2
더 힘든 게 뭔 줄 알아?,You know what's harder?,1
이전에 혹시 다른 번호로 저희 쪽에 전화 주신 이력 혹시 있으십니까,Have you ever called us from another number before?,2
혹시 재난문자 발송 때문에 많아진 거예요,Is it because of the disaster text messages that increased?,2
도는 학교시설을 통한 급식을 제공할 경우 사용하는 것이 원칙입니다,The principle is to use it when providing meals through school facilities.,2
자녀의 여권용 사진 한 매 또는 여유 분 필요합니다,You will need one passport size photo of your child or a spare.,2
네 다른 문의사항 있으십니까,Do you have any other questions?,2
일반 학교가 아닌 다른 교육을 받았으면 좋겠어요,I wish I had received an education other than regular school.,2
"괜찮아, 여기 방음 잘 돼","It's okay, it's soundproof here.",1
왔다갔다 30번 하면 에이였거든!,"If you go back and forth 30 times, it's A!",1
그리고 확인하실 수 있는 경로에 대해 문의를 주셨습니다,And you asked about the path that can be confirmed,2
오빠 내가 보내 준 기사 봤어?,"Hey, did you see the article I sent you?",1
#@소속#이요 어디로 연락하면 되나요,#@Affiliation# Where can I contact you?,2
제가 천안 터미널 번호 안내해 드리겠습니다,I will tell you the Cheonan terminal number.,2
네 준비되실 때까지 기다리겠습니다,"Yes, I will wait until you are ready.",2
아 진짜?,Oh really?,1
언니는 지금 연애하고 싶은 맘 없어?,"Sister, don't you want to date right now?",1
안녕하세요 오늘도 수고하십니다,"Hello, thank you for your hard work today.",2
네 괜찮아요 기다릴게요,"Yes, it's okay. I'll wait.",2
몰라 근데 어디서 들어 봤는데...,"I don't know, but I heard it somewhere...",1
예 제가 좀 급하게 필요해서요,"Yes, I need it urgently.",2
맞아 ㅜㅜ,Yeah ㅜㅜ,1
14년식인가?,Is it a 14 year old model?,1
오리 농가 이동 제한과 관련된 피해 보상 관련이십니까,Are you interested in compensation for damages related to restrictions on movement of duck farms?,2
참여하지 않는 시간에는 개인 자율 활동을 진행합니다,"During non-participating times, I conduct personal autonomous activities.",2
저희 쪽에 계약부서로는 확인 어렵습니다,It is difficult for our contract department to confirm this.,2
그냥 편의점 알바인데 면접도 보더라고,"It was just a convenience store part-time job, but they even interviewed me.",1
네 관련된 업체가 한정이 됐는지 아닌지 궁금해서요,I'm curious as to whether the companies involved are limited or not.,2
엥? 아니야,Huh? No,1
제가 더 감사합니다 더 다른 문의사항 있으십니까,I appreciate it. Do you have any other questions?,2
그리고 제가 개명도 해서 이름도 다릅니다,"And I changed my name, so my name is different.",2
지금 바로 연결해 드릴 수 있습니다,I can connect you right now,2
그러면은 과가 이렇게 전화번호가 나오네요,"Then, the phone number will appear like this.",2
네 선생님 기다려주셔서 감사합니다 실례지만 어느 지역이십니까,"Yes, thank you for waiting. Excuse me, but where are you from?",2
선생님 오래 기다리게 해 드려 정말 죄송합니다,"Teacher, I'm really sorry for keeping you waiting for so long.",2
오오 그러면 모르는 사람들이랑 하는 거야?,"Oh, so you're doing it with people you don't know?",1
네 알겠습니다 주사님 감사합니다,"Yes, I understand. Thank you, sir.",2
네 문자 발송 부탁 드립니다,Please send me your text,2
그때 전화 받으신 분의 정확한 성함은 모르시죠,I don't know the exact name of the person who answered the phone at that time.,2
응 비행기표는 인당 왕복 3만원 정도? 하하,"Yeah, round trip plane tickets are about 30,000 won per person? Haha",1
학교의 자율성을 허용하지만 가급적 학년 별로 구분하여 운영해요,"We allow schools autonomy, but we try to operate them by grade level as much as possible.",2
일단은 여기 물어보죠 네 고맙습니다,"Let me ask here first. Yes, thank you.",2
우리는 밖에 냥이들 있음,We have cats outside,1
행복한 하루 시작 #@소속# 상담원 #@이름#입니다,Start a happy day #@Affiliation# Counselor #@Name#,2
그렇다면 접속이 가능한 시점에 선생님께 확인 전화를 드릴까요,"Then, shall I call you to confirm when I can connect?",2
도로 교통과 확인되어 바로 연결하겠습니다,We will connect you right away after confirming with road traffic.,2
청렴한 사회를 위한 상담사 #@이름# 입니다,"I am #@Name#, a counselor for a clean society.",2
오오 케이크는 레터링 케이크?,"Oh, the cake is a lettering cake?",1
각 부서에서 직접 민원을 담당한다고요,Each department is directly responsible for handling complaints.,2
네 그러십니까 도청에서 압류를 하신 부분이십니까,"Yes, is that right? Is that the part that was seized by the wiretapping?",2
잠시만 기다려 주시겠습니까,Could you please wait a moment?,2
그때 셔틀버스 있어서 거기로 갔을 거야,"There was a shuttle bus at that time, so I went there.",1
그래 그래,Yeah yeah,1
요즘에 뭐 봐?,What are you watching these days?,1
너 거기 단골 미용실이야?,Is that your regular beauty salon?,1
그러므로 이천 십 팔 년도에 공고문을 확인 부탁드립니다,"Therefore, please check the notice in the year 2018.",2
선생님 그 부분 관련해서는 #@이름#으로 신고를 해주시면 더 좋으실 듯합니다,"Teacher, I think it would be better if you reported that part to #@name#",2
내역은 수수료 팔백 원과 우편 등기료 이천오십 원 입니다,The details are a fee of eight hundred won and a postal registration fee of two thousand and fifty won.,2
나 그때 무도 보고 있었는데 다음 장면으로 넘어가던데?,"I was watching the dance at that time, and then it went to the next scene?",1
맞아,that's right,1
혹시 그럼 신재생팀에 계신 분과 통화 가능할까요,"By any chance, could I speak to someone from the Renewable Energy Team?",2
홈페이지를 참고하여 주시면 일정을 확인할 수 있습니다,You can check the schedule by referring to the homepage.,2
네 그러면 그렇게 해주세요,"Okay, then please do that.",2
나는 주로 버스를 이용해!,I mostly use the bus!,1
기다리면 연락 주시는 거 맞죠,"If I wait, you will contact me, right?",2
네 아무래도 그렇습니다 말씀 이어 드릴게요,"Yes, I think so. I will continue talking.",2
"아앗, 왜 친구들이랑 갈 수 있잖아","Oh, why can't I go with my friends?",1
예 맞아요 법인사업자예요,"Yes, that's right, we are a corporate business.",2
고물상 하나 운영 중이시지.,"You run a second-hand store, right?",1
사회복지 그 시설신고증이요,This is a social welfare facility report certificate.,2
그러면 한 번 알아 봐!,"Well then, let's find out!",1
이후 해당 학교장이 거주지 확인하여 전학을 허가합니다,"Afterwards, the principal of the school verifies the residence and approves the transfer.",2
한국 국적을 취득한 분이 있으실 경우는 교육비 지원이 가능합니다,"If you have acquired Korean citizenship, you can receive support for educational expenses.",2
오빠 때도 군부대 안에 식당 같은 거 있었어?,"Oppa, was there something like a restaurant in the military base back then?",1
그러니까 그러고 월요병 생겨서 죽겠다더라,That's why I got Monday blues and thought I was going to die.,1
너 내가 보여준 속눈썹 연장 화장품 봤어?,Did you see the eyelash extension makeup I showed you?,1
예 감사합니다 다른 문의사항 있으십니까,"Yes, thank you. Do you have any other questions?",2
그리고 추가 안내해 드릴 부분이 있습니다,And there is something else I would like to tell you.,2
다운 받아서 너도 미리 예약 해 놔,Download it and reserve it for yourself too,1
예 확인 감사드립니다 전화 받으신 주사님 성함이 어떻게 되십니까,"Yes, thank you for checking. What is the name of the person who answered the phone?",2
항상 도움 주셔서 감사합니다,Thank you for always helping me,2
그러세요 어떤 건으로 문의 주셨나요,"So, what is your inquiry?",2
지금 열 다섯 살 됐어요,I'm fifteen now,2
그러면 명확하게 나누어져 있으면 등록을 따로 할 수 있다는 거죠,"So if it's clearly divided, you can register it separately.",2
이번 달에 시행이 이미 된 겁니까,Has it already been implemented this month?,2
네 선생님 어떤 문의 이신지 먼저 말씀 부탁드립니다,"Yes, sir, please tell me first what your inquiry is.",2
병원에서는 건강하다고 해? 어떻대?,The hospital said you're healthy? How is it?,1
제가 경북 도지사님께 건의드릴 게 있어서요,I have a suggestion for the Gyeongbuk Governor.,2
선생님 해당 란각코드랑 농장을 알려주시겠어요,"Teacher, can you tell me the corresponding lanquan code and farm?",2
11월달인데 곧 다가와서 준비 하려고!,It's November and it's almost here so I'm going to have to get ready!,1
감사합니다 무더운 날씨에 수고하세요,Thank you for your hard work in this hot weather.,2
그와 관련해서는 #@소속#에 건의해 주시면 좋을 듯 싶습니다,"Regarding that, I think it would be good if you made a suggestion to #@affiliation#",2
뒤쪽으로요 삼백 미터요,"Back, three hundred meters.",2
선생님 불편드려 정말 죄송합니다,"Teacher, I am truly sorry for the inconvenience.",2
