,Korean,English,score,conversation_fixed_result,GT_result
0,불 끄면 영화관 못지 않아,Turn off the lights and it's just like a movie theater,1,,불을 끄면 마치 영화관 같아요.
1,아냐,no,1,,"아니요.      이 문장은 영어 단어 ""no""의 한국어 번역입니다. ""아니요""는 한국어에서 부정의 의미를 나타내는 표현으로, 영어의 ""no""와 같은 역할을 합니다."
2,선생님 시청에 문의해 보셨습니까,Have you tried contacting the teacher's office?,2,,선생님 사무실에 연락해 보셨나요?
3,이사 편리 부동산 정보에서 확인을 하였는데요,I checked the information on moving convenience real estate.,2,,편리한 이사 부동산에 대한 정보를 확인했습니다.
4,키키 맞아 나는 보라 같은 사람이 되고 싶더라~,"Kiki, that's right, I want to be someone like Bora~",1,,"기키야, 맞아. 나도 보라처럼 되고 싶어~"
5,네 고객님 제가 관련 부서 안내 드리겠습니다,"Yes, sir. I will guide you to the relevant department.",2,,"네, 알겠습니다. 제가 관련 부서로 안내해 드리겠습니다."
6,네 안녕하세요 혹시 실외활동 관련 부서 있나요,"Yes, hello. Do you have a department for outdoor activities?",2,,"네, 안녕하세요. 야외 활동 부서가 있나요?"
7,키키 그렇구나,"Kiki, I see",1,,"기키야, 나는 네가 보여"
8,이전에 혹시 다른 번호로 저희 쪽에 전화 주신 이력 혹시 있으십니까,Have you ever called us from another number before?,2,,이전에 다른 번호로 우리에게 전화한 적 있나요?
9,혹시 재난문자 발송 때문에 많아진 거예요,Is it because of the disaster text messages that increased?,2,,재해 문자 때문에 증가한 건가요?
10,도는 학교시설을 통한 급식을 제공할 경우 사용하는 것이 원칙입니다,The principle is to use it when providing meals through school facilities.,2,,원칙은 학교 시설을 통해 급식을 제공할 때 이를 사용하는 것입니다.
11,자녀의 여권용 사진 한 매 또는 여유 분 필요합니다,You will need one passport size photo of your child or a spare.,2,,아이의 여권 사진 한 장 또는 여분이 필요합니다.
12,네 다른 문의사항 있으십니까,Do you have any other questions?,2,,다른 질문 있으신가요?
13,안녕하세요 #@소속# #@이름#입니다,"Hello, this is #@Affiliation# #@Name#",2,,"안녕하세요, 저는 #@Affiliation# #@Name#입니다."
14,"괜찮아, 여기 방음 잘 돼","It's okay, it's soundproof here.",1,,"괜찮아, 여기는 방음이야."
15,왔다갔다 30번 하면 에이였거든!,"If you go back and forth 30 times, it's A!",1,,30번 왕복하면 A야!
16,그리고 확인하실 수 있는 경로에 대해 문의를 주셨습니다,And you asked about the path that can be confirmed,2,,그리고 확인할 수 있는 경로에 대해 물으셨습니다.
17,오빠 내가 보내 준 기사 봤어?,"Hey, did you see the article I sent you?",1,,"야, 내가 보낸 기사 봤어?"
18,#@소속#이요 어디로 연락하면 되나요,#@Affiliation# Where can I contact you?,2,,소속 기관에 연락할 수 있는 방법은 무엇인가요?
19,제가 천안 터미널 번호 안내해 드리겠습니다,I will tell you the Cheonan terminal number.,2,,저는 천안 터미널 번호를 알려드릴게요.
20,네 준비되실 때까지 기다리겠습니다,"Yes, I will wait until you are ready.",2,,"네, 네가 준비될 때까지 기다릴게."
21,아 진짜?,Oh really?,1,,정말요?
22,키키 아하 오케이~,Kiki aha okay~,1,,키키 아하하 오케이~
23,안녕하세요 오늘도 수고하십니다,"Hello, thank you for your hard work today.",2,,"안녕하세요, 오늘 수고 많으셨습니다. 감사합니다."
24,네 괜찮아요 기다릴게요,"Yes, it's okay. I'll wait.",2,,"네, 괜찮아요. 기다릴게요."
25,몰라 근데 어디서 들어 봤는데...,"I don't know, but I heard it somewhere...",1,,저는 잘 모르겠지만 어디선가 들었어요...
26,예 제가 좀 급하게 필요해서요,"Yes, I need it urgently.",2,,"네, 그것이 시급히 필요합니다."
