,Korean,English,score,conversation_fixed_result,Vanila_EXAONE_result,GPT-4_result,CLOVA-X_result,Claude_result
0,불 끄면 영화관 못지 않아,Turn off the lights and it's just like a movie theater,1,불을 끄면 마치 영화관 같아요.,불을 끄면 마치 영화관 같아요.,불을 끄면 영화관 같아요.,불을 끄면 영화관 같아요.,불을 끄면 영화관과 똑같아
1,아냐,no,1,아니요,아니요,아니요.,아니요.,아니요
2,선생님 시청에 문의해 보셨습니까,Have you tried contacting the teacher's office?,2,선생님 사무실에 연락해 보셨나요?,선생님 사무실에 연락해 보셨나요?,선생님 사무실에 연락해 보셨나요?,교무실에 연락해 보셨나요?,선생님 사무실에 연락해 보셨나요?
3,이사 편리 부동산 정보에서 확인을 하였는데요,I checked the information on moving convenience real estate.,2,편리한 이사 부동산에 대한 정보를 확인했습니다.,편리한 이사 부동산에 대한 정보를 확인했습니다.,이사 편리 부동산 정보를 확인했어요.,이사 편의 부동산 정보를 확인했습니다.,이사 편의 부동산 정보를 확인했습니다.
4,맞아 나는 보라 같은 사람이 되고 싶더라~,"That's right, I want to be someone like Bora~",1,"맞아, 나도 보라 같은 사람이 되고 싶어.","맞아, 나도 보라처럼 되고 싶어~","맞아요, 저는 보라 같은 사람이 되고 싶어요.","맞아요, 보라 같은 사람이 되고 싶어요~","그래, 보라 같은 사람이 되고 싶어~"
5,네 고객님 제가 관련 부서 안내 드리겠습니다,"Yes, sir. I will guide you to the relevant department.",2,"네, 알겠습니다. 안내해 드리겠습니다. 해당 부서로 안내해 드리겠습니다.","네, 알겠습니다. 제가 관련 부서로 안내해 드리겠습니다.","네, 관련 부서로 안내해 드리겠습니다.","네, 선생님. 해당 부서로 안내해 드리겠습니다.","네, 죄송합니다. 관련 부서로 안내해 드리겠습니다."
6,네 안녕하세요 혹시 실외활동 관련 부서 있나요,"Yes, hello. Do you have a department for outdoor activities?",2,"네, 안녕하세요. 야외 활동 부서가 있나요?","네, 안녕하세요. 야외 활동 부서가 있나요?","네, 안녕하세요. 야외 활동 관련 부서가 있나요?","네, 안녕하세요. 야외 활동 부서가 있나요?","네, 안녕하세요. 야외 활동 부서가 있나요?"
7,더 힘든 게 뭔 줄 알아?,You know what's harder?,1,알지? 더 어려운 게 뭔지 알아?,더 어려운 건 뭐냐?,더 어려운 게 뭔지 아세요?,뭐가 더 어려운지 아세요?,더 힘든 게 뭔지 아세요?
8,이전에 혹시 다른 번호로 저희 쪽에 전화 주신 이력 혹시 있으십니까,Have you ever called us from another number before?,2,이전에 다른 번호로 저희에게 전화하신 적 있으신가요?,이전에 다른 번호로 우리에게 전화한 적 있나요?,다른 번호로 우리에게 전화하신 적 있나요?,다른 번호로 전화하신 적이 있나요?,이전에 다른 번호로 전화하신 적이 있나요?
9,혹시 재난문자 발송 때문에 많아진 거예요,Is it because of the disaster text messages that increased?,2,재해 문자 때문에 증가한 것인가요?,재해 문자 때문에 증가한 건가요?,재난 문자 메시지 증가 때문인가요?,재난 문자가 늘어나서 그런 건가요?,재난 문자메시지가 늘어나서 그런 건가요?
